tag;descripcion;fabricante;modelo;tipo_ventilador;tasa_flujo_masico;caudal_volumetrico;presion_entrada;presion_salida;velocidad_func;temperatura;densidad;potencia_freno;potencia_ventilador;presion_barometrica;temp_ambiente;velocidad_diseno;temp_diseno;presion_diseno;pres_ent_abs;pres_sal_abs;pres_total;potencia_motor;velocidad_motor;factor_servicio;espesor_carcasa;espesor_caja;sello;lubricante;refrigerante;diametro;motor;acceso_aire;caudal_adicional;presion_entrada_adicional;presion_salida_adicional;velocidad_func_adicional;temp_adicional;densidad_adicional;potencia_freno_adicional
3F-01;;;;Ventilador de tiro forzado;;39.76;;;;;;;287.84;;;1864.4011;;;;;;;;;;;;;;;;;;;;;;;
4F-01;;;;Ventilador de tiro forzado;;39.76;;;;;;;287.84;;;1864.4011;;;;;;;;;;;;;;;;;;;;;;;
9F-01;;;;Ventilador de tiro forzado;343.055;;;;169.646;;;;260.7;;;;;6880;;;;336;188.4955;1.15;;;;;;;;;;;;;;;
10F-01;;;;Ventilador de tiro forzado;343.055;;;;169.646;;;;260.7;;;;;6880;;;;336;188.4955;1.15;;;;;;;;;;;;;;;
11F-01;;;;Ventilador de tiro forzado;343.055;;;;169.646;;;;260.7;;;;;6880;;;;336;188.4955;1.15;;;;;;;;;;;;;;;
12F-01;;;;Ventilador de tiro forzado;343.055;;;;169.646;;;;260.7;;;;;6880;;;;336;188.4955;1.15;;;;;;;;;;;;;;;
13F-01;;;;Ventilador de tiro forzado;343.055;;;;169.646;;;;260.7;;;;;6880;;;;336;188.4955;1.15;;;;;;;;;;;;;;;
14F-01;Ventilador con rodamientos;Buffalo forge;;Ventilador de tiro forzado;;38.7;-498.16;11731.76;185.354;45;1.057;548.835;;97730.9268;37.777;210.591;65.55;12442;972.763;101;4000;;;;0.1143;0.1143;Tipo de junta estandar.;Aceite unocal Unax Aw-150.;Aire Ambiente.;Ventilador de 1/2 diametro.;Motor de medio diametro.;Puerta de acceso atornillada.;37.01;-498.16;10685.62;185.3539;45;1.057;489.179
15F-01;Ventilador con rodamientos;Buffalo forge;;Ventilador de tiro forzado;;38.7;-498.16;11731.76;185.354;45;1.057;548.835;;97730.9268;37.777;210.591;65.55;12442;972.763;101;4000;;;;0.1143;0.1143;Tipo de junta estandar.;Aceite unocal Unax Aw-150.;Aire Ambiente.;Ventilador de 1/2 diametro.;Motor de medio diametro.;Puerta de acceso atornillada.;37.01;-498.16;10685.62;185.3539;45;1.057;489.179
16-F01;Ventilador con soportes de rodillos;Buffalo forge;;Ventilador de tiro forzado;;38.7;-498.16;11731.76;185.354;45;1.057;548.835;;97730.9268;37.777;210.591;;;972.763;101;4000;;;;0.1143;0.1143;Tipo de junta estandar.;Aceite unocal Unax Aw-150.;Aire Ambiente.;Ventilador de 1/2 diametro.;Motor de medio diametro.;Puerta de acceso atornillada.;37.01;-498.16;10685.62;185.3539;45;1.057;489.179
17F-01;Ventilador con soportes de rodillos;Buffalo forge;;Ventilador de tiro forzado;;38.7;-498.16;11731.76;185.354;45;1.057;548.835;;97730.9268;37.777;210.591;;;972.763;101;4000;;;;0.1143;0.1143;Tipo de junta estandar.;Aceite unocal Unax Aw-150.;Aire Ambiente.;Ventilador de 1/2 diametro.;Motor de medio diametro.;Puerta de acceso atornillada.;37.01;-498.16;10685.62;185.3539;45;1.057;489.179
